PeriodBegin,Boston,San Francisco,San Diego,Chicago,San Jose,Washington DC,Los Angeles,Seattle
1/1/2012,384900.00,699000.00,349900.00,169000.00,426500.00,399900.00,340000.00,339000.00
2/1/2012,419000.00,749000.00,359450.00,193000.00,460000.00,399999.00,349800.00,339725.00
3/1/2012,409000.00,779000.00,387500.00,199900.00,483800.00,449900.00,350000.00,389000.00
4/1/2012,419000.00,714000.00,379000.00,189900.00,479000.00,425000.00,375000.00,389950.00
5/1/2012,409950.00,797000.00,389900.00,179900.00,499994.50,434500.00,399000.00,385000.00
6/1/2012,419000.00,779000.00,399900.00,180000.00,539000.00,425000.00,375900.00,399000.00
7/1/2012,389900.00,739000.00,385000.00,179950.00,524975.00,399999.00,390500.00,375000.00
8/1/2012,389000.00,770500.00,399000.00,169900.00,499950.00,399900.00,389000.00,368500.00
9/1/2012,437000.00,817500.00,389000.00,172000.00,529925.00,450000.00,409000.00,415000.00
10/1/2012,403750.00,799000.00,395000.00,164900.00,523888.00,439000.00,399000.00,380475.00
11/1/2012,419000.00,799000.00,385000.00,147300.00,525000.00,427450.00,399900.00,370000.00
12/1/2012,409950.00,685000.00,385000.00,139900.00,522500.00,399277.50,382950.00,329967.00
1/1/2013,445000.00,799000.00,415444.00,179000.00,546944.00,457450.00,425000.00,369000.00
2/1/2013,439000.00,849000.00,444900.00,224900.00,598000.00,450000.00,449000.00,399950.00
3/1/2013,449000.00,829000.00,459900.00,224000.00,599919.00,477000.00,474950.00,399000.00
4/1/2013,449999.50,829000.00,456700.00,225000.00,635000.00,469000.00,499000.00,400000.00
5/1/2013,449950.00,849000.00,475000.00,240000.00,629000.00,519000.00,499000.00,409950.00
6/1/2013,439000.00,799000.00,449000.00,229000.00,615000.00,469500.00,495000.00,415000.00
7/1/2013,429000.00,849000.00,465000.00,229900.00,599950.00,469900.00,489900.00,399000.00
8/1/2013,440000.00,799000.00,450000.00,215000.00,625000.00,419500.00,495000.00,399000.00
9/1/2013,464700.00,925000.00,449000.00,229000.00,599888.00,499900.00,499000.00,425000.00
10/1/2013,439000.00,875000.00,444950.00,200000.00,599000.00,469900.00,495000.00,425000.00
11/1/2013,470000.00,849000.00,449000.00,175000.00,599000.00,439700.00,480000.00,389925.00
12/1/2013,469900.00,788000.00,430000.00,174900.00,599000.00,427600.00,450000.00,399000.00
1/1/2014,506950.00,898000.00,459000.00,229000.00,625000.00,449000.00,525000.00,399950.00
2/1/2014,479000.00,899000.00,479000.00,249000.00,658400.00,449000.00,535000.00,424950.00
3/1/2014,469900.00,902500.00,489000.00,255000.00,652525.00,499000.00,539975.00,419950.00
4/1/2014,499000.00,949000.00,497500.00,268500.00,689000.00,514900.00,539000.00,443995.00
5/1/2014,479900.00,937000.00,518150.00,265000.00,675000.00,499900.00,560000.00,440000.00
6/1/2014,469700.00,899000.00,515000.00,259900.00,675000.00,474999.50,549000.00,465000.00
7/1/2014,469000.00,899000.00,488488.00,247700.00,650000.00,469900.00,550000.00,439000.00
8/1/2014,479000.00,899000.00,479000.00,233900.00,669000.00,420000.00,529500.00,425000.00
9/1/2014,498450.00,1009750.00,475500.00,249900.00,688000.00,515000.00,549900.00,459950.00
10/1/2014,499900.00,995000.00,479450.00,214250.00,672444.00,499000.00,549900.00,450000.00
11/1/2014,519000.00,999000.00,499000.00,192900.00,685000.00,482425.00,506000.00,449950.00
12/1/2014,496900.00,939000.00,440000.00,179900.00,655000.00,439499.50,499000.00,429000.00
1/1/2015,515000.00,1049000.00,499000.00,229000.00,674995.00,485000.00,550000.00,435000.00
2/1/2015,599450.00,998000.00,520000.00,270000.00,700000.00,512500.00,569000.00,468888.00
3/1/2015,539999.00,1049000.00,534000.00,269900.00,735000.00,524900.00,579000.00,499000.00
4/1/2015,549900.00,1099000.00,526900.00,269900.00,729000.00,549000.00,599000.00,475000.00
5/1/2015,549900.00,1049000.00,525438.00,269900.00,765000.00,530000.00,599000.00,495000.00
6/1/2015,529900.00,1057113.00,508888.00,265000.00,749000.00,515000.00,579949.50,509975.00
7/1/2015,499000.00,1015000.00,519000.00,255950.00,749894.00,499000.00,585000.00,474975.00
8/1/2015,519000.00,995000.00,518000.00,245000.00,739000.00,479900.00,580000.00,495000.00
9/1/2015,569900.00,1098000.00,499900.00,259900.00,765000.00,539000.00,589000.00,515000.00
10/1/2015,559000.00,1149000.00,510000.00,239900.00,725000.00,539900.00,615000.00,499500.00
11/1/2015,512450.00,999499.50,525000.00,219000.00,726750.00,499500.00,589900.00,521500.00
12/1/2015,500000.00,998900.00,499000.00,179900.00,699974.50,489000.00,549950.00,500000.00
1/1/2016,560000.00,1099000.00,525000.00,249900.00,754500.00,490000.00,605000.00,549000.00
2/1/2016,599000.00,1189000.00,549000.00,283450.00,789000.00,549000.00,615000.00,549400.00
3/1/2016,599900.00,1159000.00,550000.00,289900.00,799000.00,550000.00,625000.00,549000.00
4/1/2016,599000.00,1125000.00,565000.00,285000.00,799000.00,599000.00,645500.00,549950.00
5/1/2016,599000.00,1195000.00,579000.00,284900.00,808000.00,549900.00,635000.00,549950.00
6/1/2016,575000.00,1141900.00,549900.00,274500.00,799919.00,552450.00,650000.00,550000.00
7/1/2016,578000.00,1095000.00,549000.00,274000.00,769949.00,545000.00,619000.00,535000.00
8/1/2016,590000.00,1097000.00,539000.00,259900.00,788500.00,469500.00,619000.00,535000.00
9/1/2016,599900.00,1195000.00,545000.00,278000.00,799000.00,574555.00,639450.00,584995.00
10/1/2016,619900.00,1199000.00,525000.00,249900.00,779444.00,551000.00,665000.00,569990.00
11/1/2016,579000.00,1179000.00,545250.00,239000.00,769950.00,524000.00,649000.00,575000.00
12/1/2016,599000.00,1199000.00,530000.00,210000.00,778000.00,499900.00,589450.00,549388.50
1/1/2017,649000.00,1195000.00,575000.00,279900.00,769000.00,549000.00,650000.00,599999.00
2/1/2017,697000.00,1181500.00,553950.00,325000.00,800000.00,549000.00,671000.00,612000.00
3/1/2017,629900.00,1200000.00,589000.00,305000.00,849000.00,550000.00,690000.00,610943.00
4/1/2017,609000.00,1225000.00,602500.00,299900.00,825000.00,572450.00,689949.50,599950.00
5/1/2017,639900.00,1100000.00,599444.00,295000.00,859999.00,569700.00,689950.00,649000.00
6/1/2017,649000.00,1150000.00,589450.00,299900.00,849925.00,575000.00,694799.00,648900.00
7/1/2017,625000.00,1188000.00,589900.00,284900.00,838888.00,524555.00,679900.00,629000.00
8/1/2017,619450.00,1098000.00,580000.00,279000.00,844000.00,493000.00,649999.00,629150.00
9/1/2017,689000.00,1227500.00,569000.00,284000.00,899000.00,599000.00,699000.00,650000.00
10/1/2017,675000.00,1295000.00,585000.00,269950.00,899988.00,559900.00,699994.50,650000.00
11/1/2017,669900.00,1142450.00,575000.00,250000.00,890000.00,525000.00,692500.00,647000.00
12/1/2017,649949.50,1171500.00,550000.00,224900.00,876944.00,475000.00,639000.00,650000.00
1/1/2018,675000.00,1275000.00,629000.00,300000.00,942500.00,547250.00,729000.00,650000.00
