Time,EastAsiaandPacific,EuropeandCentralAsia,MiddleEastandNorthAfrica,NorthAmerica,SouthAsia ,SubSaharanAfrica,LatinAmericaandCaribbean
1971,5.141912799,3.737882571,12.27543258,3.356252853,0.828260815,7.47901698,6.651790265
1972,7.45248273,4.714500317,16.24790867,5.280791079,-1.537872925,2.654132788,7.150321165
1973,7.718729548,5.885966749,11.89276201,5.755296577,3.737235477,4.299302783,8.595792661
1974,0.583666621,2.302663227,9.936179787,-0.178788393,2.203262987,7.917928374,6.361921366
1975,3.407803142,-0.751914214,-2.413813573,-0.040811445,7.382306892,-0.107509776,3.727122691
1976,4.205792732,4.531334489,15.19018639,5.438356315,2.383483122,5.262127399,6.168200116
1977,5.04909391,2.852433831,3.28544196,4.506493966,6.456337431,2.394065969,4.836231755
1978,5.61271281,3.097156914,-4.750649884,5.350753711,6.024968493,-0.320840642,3.919175664
1979,5.820885902,3.686024215,4.625390779,3.218634508,-3.136576462,4.104170449,6.617842897
1980,3.58964364,1.555081781,-0.987472128,-0.017870548,6.507988216,4.028994285,6.063026756
1981,4.572205224,0.512272707,1.45610625,2.630997863,6.329614641,-0.439925386,0.381603444
1982,3.924378264,0.94627116,-1.954054165,-1.943626604,3.749885858,-1.126128892,-0.438179158
1983,4.08979083,1.916230238,-2.625044664,4.386036491,6.77767461,-2.473533132,-2.520062412
1984,5.752881799,2.66323211,-1.187887749,7.104130145,4.140520864,2.55947091,3.812458469
1985,5.497451206,2.761206971,-0.620108649,4.221892301,5.391444756,1.781993328,3.647258896
1986,4.554107382,2.770242072,0.962069691,3.336163977,4.807159869,1.630574159,4.49364462
1987,5.88231748,3.053304079,0.196991815,3.518456144,4.162275818,2.709259835,3.362489023
1988,7.432626257,4.187096884,3.05793859,4.199447826,8.608640219,4.504490713,1.032658077
1989,5.103510744,3.551805942,2.808972806,3.540527855,5.48787178,2.522985452,1.359213422
1990,5.097787573,2.318796213,13.12370634,1.721070007,5.429049536,2.392063518,0.347318568
1991,4.466997748,0.41819244,4.216601107,-0.295309436,1.861542648,0.398118404,3.470809223
1992,3.417359881,-0.620312259,4.737692555,3.279283793,5.706645429,-0.317154321,2.52856546
1993,3.153458387,-0.842593808,2.854289144,2.744646291,4.425702394,-0.862893879,3.746420621
1994,4.318092563,1.065731556,2.683101221,4.0695421,6.096768092,1.185127099,4.581883828
1995,5.116092688,2.125509115,2.970303108,2.685752176,6.989914563,3.412602284,1.518413155
1996,5.106815005,1.765122409,4.725284509,3.577414239,6.895377296,5.103057534,3.518731045
1997,3.474310924,2.920717312,3.381856973,4.432440914,3.814298497,3.579253725,5.131881075
1998,-0.086108289,2.594637083,4.565691703,4.33197909,5.633230098,2.389373028,2.230076368
1999,3.010586954,2.91692853,1.728917737,4.684455515,7.826881999,2.185189255,0.132126764
2000,4.898924319,4.274560064,5.736460926,4.197746567,4.062669784,3.47331785,3.791882496
2001,2.691654293,2.287341926,1.198584428,1.036101228,4.496537838,4.259848194,0.881777967
2002,3.621017642,1.69181687,1.595102168,1.887661707,3.647415816,6.364559512,0.289906365
2003,4.270803761,1.832378149,5.487214826,2.94586388,7.377364296,4.2616794,1.558354079
2004,5.180051094,3.250116777,7.998390977,3.808669151,7.579822499,6.501227865,6.340903409
2005,5.06637,2.768405742,5.067419851,3.645607078,7.602138269,6.199029062,4.255699474
2006,5.542396218,3.976797023,6.032982249,2.975106075,7.716583788,6.163521484,5.26532864
2007,6.48084312,3.677453525,5.172698058,2.335661452,7.332365302,6.561579557,5.510392416
2008,3.536390672,1.028952089,4.495773863,-0.026079697,3.237683396,5.352291135,3.919559445
2009,1.386451557,-4.439124873,0.49553964,-2.57578359,7.134107603,3.067021796,-1.88576295
2010,7.069892522,2.622468567,5.051637445,2.61290665,7.703500276,5.404884172,5.850165718
2011,4.610477702,2.404684083,3.681000215,1.704169503,5.137576868,4.738067113,4.365838702
2012,4.694137392,0.318386069,3.889395525,2.199212028,5.501985931,3.96407442,2.784156964
2013,4.769819801,0.900190381,2.707693465,1.888521408,6.087552911,5.001374173,2.784873636
2014,4.189864561,1.832642497,2.905446937,2.493169133,6.992602207,4.656264525,0.990677867
2015,4.199749197,2.075784142,2.375418722,2.661174934,7.480328785,2.844416825,0.090086853
2016,4.091404124,1.921193335,4.962428475,1.512345251,7.778358468,1.237143931,-0.336701964
2017,4.759699147,2.774833067,1.716279566,2.309030842,6.828651036,2.548365371,1.772358851
2018,4.169998952,2.167933818,2.380202644,3.070030778,6.098621496,2.410646746,1.571038613
2019,3.763356211,1.504683934,1.808834379,2.268329806,4.832489659,2.277675586,0.83169257
